Variant;Automaker;Vendor;Gen;Reg;Navi;Speach;DAB;part numbers;info
17201;VW;Technisat;MIB2;;;;;;
17202;VW;Technisat;MIB2;;;;;;
17203;VW;Technisat;MIB2;;;;;;
17204;VW;Technisat;MIB2;;;;;;
17205;VW;Technisat;MIB2;;;;;;
17206;VW;Technisat;MIB2;;;;;;
17207;VW;Technisat;MIB2;;;;;;
17210;VW;Technisat;MIB2;;;;;;
17212;VW;Technisat;MIB2;;;;;;
17214;VW;Technisat;MIB2;;;;;;
17215;VW;Technisat;MIB2;;;;;;
17216;VW;Technisat;MIB2;;;;;;
17217;VW;Technisat;MIB2;;;;;;
17220;VW;Technisat;MIB2;;;;;;
17222;VW;Technisat;MIB2;;;;;;
17224;VW;Technisat;MIB2;;;;;;
17241;VW;Delphi;MIB2;;;;;;
17242;VW;Delphi;MIB2;;;;;;
17245;VW;Delphi;MIB2;;;;;;
17246;VW;Delphi;MIB2;;;;;;
17247;VW;Delphi;MIB2;;;;;;
17248;VW;Delphi;MIB2;;;;;;
17249;VW;Delphi;MIB2;;;;;;
17250;VW;Delphi;MIB2;EU;yes;yes;;3Q0 035 874 B;STD2Nav_EU_VW
17251;VW;Delphi;MIB2;;;;;;
17252;VW;Delphi;MIB2;;;;;;
17254;VW;Delphi;MIB2;;;;;;
17255;VW;Delphi;MIB2;;;;;;
17256;VW;Delphi;MIB2;EU;no;no;;;STD2_EU_VW
17257;VW;Delphi;MIB2;EU;no;yes;;;STD2Plus_EU_VW
17261;VW;Delphi;MIB2;;;;;;
17262;VW;Delphi;MIB2;;;;;;
17263;VW;Delphi;MIB2;;;;;;
17268;VW;Delphi;MIB2;;;;;;
17269;VW;Delphi;MIB2;;;;;;
17270;VW;Delphi;MIB2;;;;;;
17271;VW;Delphi;MIB2;;;;;;
37206;Skoda?;Technisat;MIB2;;;;;;
37207;Skoda?;Technisat;MIB2;;;;;;
37208;Skoda?;Technisat;MIB2;;;;;;
37212;Skoda?;Technisat;MIB2;;;;;;
37213;Skoda?;Technisat;MIB2;;;;;;
37214;Skoda?;Technisat;MIB2;;;;;;
47201;Seat;Technisat;MIB2;EU+RoW;no;yes;yes;;MST2_EU_SE_ZR
47202;Seat;Technisat;MIB2;EU+RoW;no;yes;no;;MST2_EU_SE_ZR
47203;Seat;Technisat;MIB2;EU+RoW;yes;yes;yes;;MST2_EU_SE_ZR
47204;Seat;Technisat;MIB2;EU+RoW;yes;yes;no;;MST2_EU_SE_ZR
47205;Seat;Technisat;MIB2;;;;;;
47208;Seat;Technisat;MIB2;;;;;;
47209;Seat;Technisat;MIB2;;;;;;
47210;Seat;Technisat;MIB2;;;;;;
47213;Seat;Technisat;MIB2;;;;;;
47214;Seat;Technisat;MIB2;;;;;;
;;;;;;;;;
;Skoda;;MIB1;EU;yes;;;5E0 035 874 A;MSTD_EU_SK
